,학교구분,학교명,학교_위치,위도,경도
0,2,선화예술중학교,"37.54992721317203, 127.0872728484992",37.54992721317203,127.0872728484992
1,2,자양중학교,"37.5355505392486, 127.074606675947",37.5355505392486,127.074606675947
2,2,용곡중학교,"37.5661168883261, 127.088935243662",37.5661168883261,127.088935243662
3,2,양진중학교,"37.5450730890035, 127.0981665329",37.5450730890035,127.0981665329
4,2,신양중학교,"37.5335136376514, 127.063363038023",37.5335136376514,127.063363038023
5,2,대원국제중학교,"37.563885631132, 127.089453247136",37.563885631132,127.089453247136
6,2,동국대학교사범대학부속여자중학교,"37.5424939226997, 127.087341127698",37.5424939226997,127.087341127698
7,2,구의중학교,"37.5428059919186, 127.079217019013",37.5428059919186,127.079217019013
8,2,광진중학교,"37.5320190144575, 127.089587144011",37.5320190144575,127.089587144011
9,2,광장중학교,"37.5472972737522, 127.101808707054",37.5472972737522,127.101808707054
10,2,광양중학교,"37.5305298330056, 127.085711597685",37.5305298330056,127.085711597685
11,2,광남중학교,"37.54045812903372, 127.10141469495024",37.54045812903372,127.10141469495024
12,2,건국대학교사범대학부속중학교,"37.5411638987574, 127.082537416626",37.5411638987574,127.082537416626
13,1,세종초등학교,"37.5530165928479, 127.072867690484",37.5530165928479,127.072867690484
14,1,성동초등학교,"37.5331471248437, 127.089511558448",37.5331471248437,127.089511558448
15,1,서울중마초등학교,"37.5661087807112, 127.080124566887",37.5661087807112,127.080124566887
16,1,서울중광초등학교,"37.56522319533774, 127.08260357000786",37.56522319533774,127.08260357000786
17,1,서울장안초등학교,"37.550169835637, 127.072222139803",37.550169835637,127.072222139803
18,1,서울자양초등학교,"37.5370213034069, 127.0796182230381",37.5370213034069,127.0796182230381
19,1,서울용마초등학교,"37.558260799708094, 127.08443728277568",37.558260799708094,127.08443728277568
20,1,서울용곡초등학교,"37.56707851619092, 127.088582099365",37.56707851619092,127.088582099365
21,1,서울양진초등학교,"37.5442656969341, 127.098283156877",37.5442656969341,127.098283156877
22,1,서울양남초등학교,"37.5310603433806, 127.089595048283",37.5310603433806,127.089595048283
23,1,서울신자초등학교,"37.5302664634064, 127.075560799657",37.5302664634064,127.075560799657
24,1,서울신양초등학교,"37.5348401338256, 127.069378799177",37.5348401338256,127.069378799177
25,1,서울성자초등학교,"37.5313425773203, 127.083133006516",37.5313425773203,127.083133006516
26,1,서울동자초등학교,"37.534791245939466, 127.07276170310146",37.534791245939466,127.07276170310146
27,1,서울동의초등학교,"37.5534118494145, 127.099218635728",37.5534118494145,127.099218635728
28,1,서울구의초등학교,"37.5430467719964, 127.080235665021",37.5430467719964,127.080235665021
29,1,서울구남초등학교,"37.5371886827339, 127.092281670625",37.5371886827339,127.092281670625
30,1,서울광진초등학교,"37.5475832631735, 127.091443509336",37.5475832631735,127.091443509336
31,1,서울광장초등학교,"37.5486422227941, 127.101041027731",37.5486422227941,127.101041027731
32,1,서울광남초등학교,"37.5409587835975, 127.10071383432",37.5409587835975,127.10071383432
33,1,경복초등학교,"37.549817625179, 127.086820061474",37.549817625179,127.086820061474
34,4,재한몽골학교,"37.5455379512071, 127.098230511135",37.5455379512071,127.098230511135
35,4,한국켄트외국인학교,"37.5471779950192, 127.08641754224064",37.5471779950192,127.08641754224064
36,3,동국대학교사범대학부속여자고등학교,"37.5432654113521, 127.08702519396182",37.5432654113521,127.08702519396182
37,5,서울광진학교,"37.53719190988926, 127.09160845753242",37.53719190988926,127.09160845753242
38,3,선화예술고등학교,"37.54992721317203, 127.0872728484992",37.54992721317203,127.0872728484992
39,3,대원외국어고등학교,"37.5636624479222, 127.089104368169",37.5636624479222,127.089104368169
40,3,대원여자고등학교,"37.5624620790373, 127.089424380914",37.5624620790373,127.089424380914
41,3,대원고등학교,"37.5631647765463, 127.089529351024",37.5631647765463,127.089529351024
42,3,건국대학교사범대학부속고등학교,"37.5400013311353, 127.080327447515",37.5400013311353,127.080327447515
43,3,자양고등학교,"37.5356668433293, 127.073045412406",37.5356668433293,127.073045412406
44,3,광양고등학교,"37.5294561744657, 127.085248782225",37.5294561744657,127.085248782225
45,3,광남고등학교,"37.5413869612066, 127.101529105077",37.5413869612066,127.101529105077
