열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.473801686325345,126.9748274734355,4.8952036723674475,191.03358098016457,37.4743022250306,126.976014331967,37.4733011476201,126.973640614904,85,1,남현동,관악구 남현동 1120,0,관악구
2,,37.48477490542995,126.946240249528,6.588378920178711,65.1598570378681,37.4846673504229,126.946395058313,37.484882460437,126.946085440743,60,1,봉천동,관악구 봉천동 975-11,0,관악구
3,,37.473943998282095,126.965055289405,4.366576826031076,73.1991048706357,37.4739651318312,126.965376399071,37.473922864733,126.964734179739,285,1,봉천동,관악구 봉천동 196-44,0,관악구
4,,37.474932350435395,126.9419227860205,10.936421423553096,209.17984522715273,37.4749068155823,126.940749101742,37.4749578852885,126.943096470299,480,1,신림동,관악구 신림동 98-51,0,관악구
5,,37.469260668882555,126.968217245665,4.241862256218271,233.65909408839295,37.468537254771,126.969249919814,37.4699840829941,126.967184571516,330,1,봉천동,관악구 봉천동 180-260,0,관악구
6,,37.4768992064964,126.9326549012855,11.046229040726663,116.27651193515104,37.477683546969,126.932991609453,37.4761148660238,126.932318193118,235,1,신림동,관악구 신림동 409-2,0,관악구
7,,37.4741747216537,126.9383271152205,7.466038772278025,192.5189587189471,37.4738483183768,126.938648560407,37.4745011249306,126.938005670034,285,1,신림동,관악구 신림동 산 149-52,0,관악구
8,,37.487548453359054,126.9414484712905,5.6116541937231155,151.70199369246842,37.486945651809,126.941120753672,37.4881512549091,126.941776188909,157,1,봉천동,관악구 봉천동 635-383,0,관악구
9,,37.48426966957565,126.9585651776325,6.024985308831709,148.58961137131206,37.4851360567561,126.957473160976,37.4834032823952,126.959657194289,100,1,봉천동,관악구 관악로24가길 15,1,관악구
10,,37.46939087281725,126.965809431143,3.093926774689263,279.6310966613749,37.4692648813505,126.965549488503,37.469516864284,126.966069373783,250,1,봉천동,관악구 인헌16나길 4,1,관악구
11,,37.4862899282734,126.95823159642048,3.017096611949994,70.34112925927283,37.4862101220192,126.957149966801,37.4863697345276,126.95931322604,120,1,봉천동,관악구 관악로30길 12,1,관악구
12,,37.4744110854425,126.962153110046,1.068158002076533,191.18878561880464,37.474572360593,126.963120067385,37.474249810292,126.961186152707,20,1,봉천동,관악구 낙성대역6길 17-3,1,관악구
13,,37.48398936055701,126.9366908512655,8.823783959725496,162.30093265782023,37.484226175994,126.936831700613,37.48375254512,126.936550001918,200,1,신림동,관악구 남부순환로198길 10,1,관악구
14,,37.479508800415104,126.934258783849,14.488851004841944,224.33827206456323,37.4792099041859,126.933554407266,37.4798076966443,126.934963160432,230,1,신림동,관악구 신림로48길 17-16,1,관악구
15,,37.46541520359075,126.937161605607,14.063069995521946,103.29866540318032,37.4655600589723,126.93736455622,37.4652703482092,126.936958654994,170,1,신림동,"관악구 대학18길 6 (신림동, 금호타운)",1,관악구
16,,37.477006992582005,126.9304433381975,8.33063448158431,245.924103576095,37.4784831283486,126.930693234692,37.4755308568154,126.930193441703,150,1,신림동,관악구 문성로38길 37-3,1,관악구
17,,37.47568665238735,126.92394294744,6.185089780707091,200.9845440470214,37.4750718935698,126.922823215702,37.4763014112049,126.925062679178,130,1,신림동,"관악구 법원단지길 127-2 (신림동, 스카이빌)",1,관악구
18,,37.47372643989045,126.980471799854,8.292035202697113,218.59663724198504,37.4740320974462,126.981500871197,37.4734207823347,126.979442728511,200,1,남현동,관악구 승방6길 2 (남현동),1,관악구
19,,37.479806561923496,126.963739886059,7.886318803544238,242.86894582708783,37.4797271766237,126.96357225766,37.4798859472233,126.963907514458,309,1,봉천동,"관악구 솔밭로7길 16 (봉천동, 낙성대현대홈타운아파트)",1,관악구
20,,37.483789343533246,126.943269377358,1.7197345076564647,38.64999601404076,37.4838184035727,126.943837564391,37.4837602834938,126.942701190325,180,1,봉천동,관악구 봉천로 387,1,관악구
21,,37.48806357625935,126.958642245665,3.5712218565721217,102.0001925633829,37.4879253230576,126.958274612985,37.4882018294611,126.959009878345,210,1,봉천동,관악구 청림2길 2 (봉천동),1,관악구
22,,37.461610689800494,126.9158099825685,4.541160117780438,145.10526445408817,37.4617796699592,126.915993243638,37.4614417096418,126.915626721499,160,1,신림동,관악구 난향3길 42,1,관악구
23,,37.487422617673346,126.9340741561875,6.469877679438916,213.45477863586856,37.4870028371032,126.934072376738,37.4878423982435,126.934075935637,30,1,봉천동,관악구 봉천로21길 11,1,관악구
24,,37.48974911529345,126.94180384226952,7.862000957451269,105.26884045105756,37.4885759051018,126.941604215446,37.4909223254851,126.942003469093,70,1,봉천동,관악구 국회단지19길 5 (봉천동),1,관악구
25,,37.4652433129356,126.937628706773,8.954069042957384,108.8648488907647,37.4660903056946,126.937708542182,37.4643963201766,126.937548871364,880,1,신림동,관악구 대학18길 9,1,관악구
26,,37.477789604861,126.93848022423,7.068657394692614,212.95063968616023,37.4773986873012,126.937673380473,37.4781805224208,126.939287067987,180,1,신림동,관악구 쑥고개로1길 8,1,관악구
