,설치구간,연장(m),기점_주소,종점_주소
0,다산로36길 100(다산로36길),305,중구 신당동 45-193,다산로36길 100
1,난계로 130(난계로10길),105,성동구 상왕십리동 810,중구 난계로 130
2,동호로5길(상부),155,중구 신당동 844-8,성동구 동호로5길
3,한남대로20길(독서당로89),44,용산구 한남대로20길,용산구 독서당로 89
4,"옥수초 정문 앞
(금호로1길 27)",5,성동구 금호로1길 25,성동구 금호로1길 27
5,"옥수교회 주변
(독서당로 227)",135,성동구 매봉길 15,성동구 독서당로 227
6,"옥수종합복지관 앞
(한림말길 16-5)",30,옥수동 204-7,한림말길 16-5
7,"신금호두산의브 @ 앞
(행당로 27)",40,성동구 금호동1가 128-22,성동구 행당로 27
8,행당로 75,40,성동구 행당동 347-10,성동구 행당로 75
9,행당동 344,350,성동구 행당동 376-4,성동구 행당동 344
10,왕십리로31길 20,50,성동구 왕십리로31길 17,성동구 왕십리로31길 20
11,난계로 100,330,성동구 하왕십리동 1063,성동구 난계로 100
12,중곡동 176-1,76,광진구 중곡동 18-59,광진구 중곡동 176-1
13,아차산로78길 90,140,광진구 광장동 60-3,광진구 아차산로78길 90
14,아차산로78가길 17,140,광진구 광장동 556,광진구 아차산로78가길 17
15,청량리동 206-19,160,동대문구 청량리동 산 1-135,동대문구 청량리동 206-19
16,청량리동 11-5,20,동대문구 청량리동 11-13,동대문구 청량리동 11-5
17,휘경동 369,40,동대문구 휘경동 317-1,동대문구 휘경동 319-58
18,답십리동 75-24,15,동대문구 답십리로57길 13,동대문구 답십리로 187
19,면목로 327(버스정류장),10,중랑구 면목로 330,중랑구 면목로 327
20,사가정로 387(버스정류장),10,중랑구 사가정로 381-1,중랑구 사가정로 387
21,동일로126가길 11,50,중랑구 동일로126길 45,중랑구 동일로126가길 10
22,망우로91길(망우동 산 56-1),230,중랑구 망우동 산 56-1,중랑구 망우로91길 100
23,동소문로28길∼26마길 59,80,성북구 동소문로28길 44,성북구 동소문로 26마길 59
24,길음로 142,200,성북구 길음로 118 길음뉴타운4단지e편한세상아파트,성북구 길음로 141
25,성북로4길 177,116,성북구 성북로4길 52,성북구 성북로4길 177
26,"노해로35길 113(교량, 쌍문414앞교)",26,도봉구 우이천로39길 23,강북구 노해로35길 113
27,"노해로35길 61(교량, 계성교)",36,도봉구 우이천로 381,강북구 노해로35길 61
28,도봉로34길 66,20,강북구 오패산로48길 50,강북구 도봉로34길 66
29,"솔샘터널 상단 회차구간(일방통행 1차로, 마을버스 통행구간)",300,성북구 솔샘로 116,성북구 솔샘로25길 20
30,삼양로63가길 3,70,강북구 인수봉로20나길 59,강북구 삼양로63가길 3
31,도봉로117길(둥근달어린이공원),20,도봉구 도봉로117길 88,도봉구 도봉로117길 80
32,도동봉로113길(쌍문시장 입구),50,도봉구 도봉로113길 16,도봉구 도봉로113길 23
33,노해로44길(쌍문3동 주민센터),30,도봉구 노해로 166,도봉구 노해로44길 9
34,우이천로48길 63,37,도봉구 우이천로44길 44,도봉구 우이천로48길 63
35,노해로 267,18,도봉구 노해로61길 4 리솜하우스,도봉구 노해로 267-3
36,노해로46길 71 주변,26,도봉구 노해로46길 68,노해로46길 71
37,노해로41가길 17 주변,110,도봉구 노해로41가길 16,도봉구 노해로45길 25
38,도봉산4길 28-3 주변,110,도봉구 도봉산4길 15,도봉구 도봉산4길 28-3
39,덕릉로63가길 43 주변,125,도봉구 덕릉로59아길 40,도봉구 덕릉로63가길 18
40,해등로 3길 63,200,도봉구 노해로62길 106,도봉구 해등로3길 63
41,노원구 중계동 129-2,150,노원구 덕릉로94길 73,노원구 덕릉로82길 64
42,노원구 상계동 1270,120,노원구 한글비석로46길 72,노원구 상계동 1270
