광진구,화양동,군자동,중곡1동,중곡2동,중곡3동,중곡4동,능동,구의1동,구의2동,구의3동,광장동,자양1동,자양2동,자양3동,자양4동,합계
0~4세,164,318,264,302,272,454,220,365,528,640,660,293,531,798,370,6179
5~9세,162,396,256,489,288,525,229,467,772,867,1716,398,641,1053,425,8684
10~14세,201,462,327,619,355,731,257,542,1017,1063,2752,613,801,1155,433,11328
15~19세,784,606,346,624,412,938,268,658,1164,1217,2551,806,842,1230,560,13006
20~24세,6565,2401,892,1111,779,1455,790,1646,1350,1589,1968,1481,1203,1590,1794,26614
25~29세,7132,3277,1981,2195,1540,2380,1548,3265,1916,2390,1853,2665,2008,1900,2688,38738
30~34세,3650,2406,1946,2210,1642,2438,1542,2878,2073,2445,1565,2401,2114,1977,2272,33559
35~39세,1652,1474,1226,1479,1159,1796,999,1824,1688,2113,1851,1575,1735,1936,1627,24134
40~44세,1164,1352,1081,1483,1021,1743,918,1720,2047,2088,3176,1605,1772,2186,1576,24932
45~49세,938,1147,893,1298,965,1748,718,1504,1966,2014,3587,1556,1731,2018,1317,23400
50~54세,1044,1307,1137,1615,1279,2386,752,1828,2268,2495,3602,1751,1949,2390,1834,27637
55~59세,980,1333,1236,1696,1352,2685,708,1754,2226,2210,2496,1813,1993,2197,1995,26674
60~64세,861,1419,1180,1690,1427,2612,686,1612,2073,2066,1992,1729,1991,2101,1965,25404
65~69세,796,1176,1023,1391,1173,2205,606,1304,1816,1767,1616,1464,1758,1836,1579,21510
70~74세,598,783,637,944,729,1453,429,816,1134,1134,999,906,1122,1107,1084,13875
75~79세,491,653,529,718,644,1082,329,681,949,825,639,717,787,790,786,10620
80~84세,327,485,388,469,434,741,268,481,615,582,553,579,558,585,550,7615
85~89세,184,224,175,201,194,331,101,247,324,336,364,245,242,378,254,3800
90~94세,48,59,59,53,45,103,30,71,95,117,139,74,90,172,93,1248
95~99세,11,11,10,16,13,24,6,18,14,31,44,22,22,36,19,297
100세 이상,2,4,1,0,0,6,1,5,7,3,5,1,6,8,4,53
